City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,awbari,26.5921,12.7805,10.13,49,43,7.38,LY,02/08/2023 22:45:46
197,daru,-9.0763,143.2092,28.44,80,96,4.03,PG,02/08/2023 22:44:37
198,rach gia,47.1737,14.591,-11.56,79,0,1.03,AT,02/08/2023 22:47:21
199,norman wells,35.2226,-97.4395,1.7,96,100,4.63,US,02/08/2023 22:47:11
200,junagarh,19.8667,82.9333,25.9,22,16,1.36,IN,02/08/2023 22:47:21
201,kudahuvadhoo,2.6708,72.8944,27.25,71,88,3.64,MV,02/08/2023 22:47:22
202,taunton,51.0211,-3.1047,8.31,96,100,2.36,GB,02/08/2023 22:47:22
203,kurchum,48.5722,83.6542,-9.02,90,100,0.11,KZ,02/08/2023 22:47:23
204,belyy yar,55.8402,32.9419,-3.01,96,99,1.9,RU,02/08/2023 22:47:23
205,bengkulu,-3.8004,102.2655,28.52,63,96,2.2,ID,02/08/2023 22:42:42
206,seydi,39.4816,62.9137,0.79,92,70,7.48,TM,02/08/2023 22:47:24
207,port lincoln,-7.0349,29.7638,21.43,81,100,1.42,CD,02/08/2023 22:47:24
208,grand gaube,38.8755,-109.5012,0.55,56,4,2.47,US,02/08/2023 22:47:24
209,saint-philippe,-21.3585,55.7679,26.77,82,67,5.18,RE,02/08/2023 22:42:23
210,pahrump,36.2083,-115.9839,12.36,35,0,1.34,US,02/08/2023 22:43:35
211,yaan,7.3833,8.5667,23.73,37,100,2.01,NG,02/08/2023 22:46:05
212,sola,-13.8833,167.55,31.37,70,75,1.54,VU,02/08/2023 22:47:25
213,remanso,-9.6179,-42.0831,23.51,46,0,2.19,BR,02/08/2023 22:47:26
214,faya,18.3851,42.4509,8.29,60,39,1.73,SA,02/08/2023 22:43:40
215,tabuk,17.4189,121.4443,24.42,77,100,2.51,PH,02/08/2023 22:46:03
216,bairiki,1.3292,172.9752,30.0,74,75,7.72,KI,02/08/2023 22:47:26
217,panguna,-6.3164,155.4848,26.6,66,100,1.39,PG,02/08/2023 22:47:27
218,maragogi,-9.0122,-35.2225,25.27,81,98,2.29,BR,02/08/2023 22:45:41
